Date : 2020-07-28 13:36:27
Directory : c:\FILES\CURVE\curve
Total : 1534 files,  263355 codes, 82397 comments, 53346 blanks, all 399098 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\CreateBucketRequest.h                              | C++              |        128 |        224 |        120 |        472 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\CreateBucketResult.h                               | C++              |         38 |         35 |         15 |         88 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\CreateMultipartUploadRequest.h                     | C++              |        300 |        741 |        293 |      1,334 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\CreateMultipartUploadResult.h                      | C++              |        107 |        243 |         95 |        445 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DefaultRetention.h                                 | C++              |         49 |         77 |         27 |        153 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Delete.h                                           | C++              |         46 |         59 |         23 |        128 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteBucketAnalyticsConfigurationRequest.h        | C++              |         63 |         68 |         57 |        188 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteBucketCorsRequest.h                          | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteBucketEncryptionRequest.h                    | C++              |         53 |         52 |         47 |        152 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteBucketInventoryConfigurationRequest.h        | C++              |         63 |         68 |         57 |        188 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteBucketLifecycleRequest.h                     | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteBucketMetricsConfigurationRequest.h          | C++              |         63 |         68 |         57 |        188 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteBucketPolicyRequest.h                        | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteBucketReplicationRequest.h                   | C++              |         53 |         52 |         47 |        152 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteBucketRequest.h                              | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteBucketTaggingRequest.h                       | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteBucketWebsiteRequest.h                       | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteMarkerEntry.h                                | C++              |         73 |        119 |         49 |        241 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteMarkerReplication.h                          | C++              |         37 |         50 |         15 |        102 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteMarkerReplicationStatus.h                    | C++              |         23 |         14 |          5 |         42 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteObjectRequest.h                              | C++              |         99 |        140 |         98 |        337 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteObjectResult.h                               | C++              |         49 |         54 |         32 |        135 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteObjectTaggingRequest.h                       | C++              |         73 |         92 |         67 |        232 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteObjectTaggingResult.h                        | C++              |         38 |         35 |         15 |         88 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteObjectsRequest.h                             | C++              |         89 |        114 |         87 |        290 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeleteObjectsResult.h                              | C++              |         55 |         56 |         36 |        147 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeletePublicAccessBlockRequest.h                   | C++              |         53 |         52 |         47 |        152 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\DeletedObject.h                                    | C++              |         65 |        103 |         43 |        211 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Destination.h                                      | C++              |         76 |        234 |         51 |        361 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\EncodingType.h                                     | C++              |         22 |         14 |          5 |         41 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Encryption.h                                       | C++              |         58 |        108 |         35 |        201 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\EncryptionConfiguration.h                          | C++              |         39 |         52 |         17 |        108 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Error.h                                            | C++              |         69 |        115 |         47 |        231 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ErrorDocument.h                                    | C++              |         39 |         43 |         17 |         99 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Event.h                                            | C++              |         32 |         14 |          5 |         51 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ExpirationStatus.h                                 | C++              |         23 |         14 |          5 |         42 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ExpressionType.h                                   | C++              |         22 |         14 |          5 |         41 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\FileHeaderInfo.h                                   | C++              |         24 |         14 |          5 |         43 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\FilterRule.h                                       | C++              |         48 |         98 |         25 |        171 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\FilterRuleName.h                                   | C++              |         23 |         14 |          5 |         42 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketAccelerateConfigurationRequest.h          | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketAccelerateConfigurationResult.h           | C++              |         36 |         29 |         13 |         78 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketAclRequest.h                              | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketAclResult.h                               | C++              |         46 |         50 |         22 |        118 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketAnalyticsConfigurationRequest.h           | C++              |         63 |         76 |         57 |        196 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketAnalyticsConfigurationResult.h            | C++              |         36 |         29 |         13 |         78 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketCorsRequest.h                             | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketCorsResult.h                              | C++              |         39 |         35 |         15 |         89 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketEncryptionRequest.h                       | C++              |         53 |         52 |         47 |        152 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketEncryptionResult.h                        | C++              |         36 |         14 |         18 |         68 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketInventoryConfigurationRequest.h           | C++              |         63 |         76 |         57 |        196 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketInventoryConfigurationResult.h            | C++              |         36 |         29 |         13 |         78 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketLifecycleConfigurationRequest.h           | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketLifecycleConfigurationResult.h            | C++              |         39 |         35 |         15 |         89 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketLocationRequest.h                         | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketLocationResult.h                          | C++              |         36 |         29 |         13 |         78 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketLoggingRequest.h                          | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketLoggingResult.h                           | C++              |         36 |         14 |         18 |         68 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketMetricsConfigurationRequest.h             | C++              |         63 |         68 |         57 |        188 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketMetricsConfigurationResult.h              | C++              |         36 |         29 |         13 |         78 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketNotificationConfigurationRequest.h        | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketNotificationConfigurationResult.h         | C++              |         57 |         84 |         33 |        174 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketPolicyRequest.h                           | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketPolicyResult.h                            | C++              |         31 |         23 |         13 |         67 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketPolicyStatusRequest.h                     | C++              |         53 |         52 |         47 |        152 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketPolicyStatusResult.h                      | C++              |         36 |         29 |         13 |         78 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketReplicationRequest.h                      | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketReplicationResult.h                       | C++              |         36 |         14 |         18 |         68 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketRequestPaymentRequest.h                   | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketRequestPaymentResult.h                    | C++              |         36 |         29 |         13 |         78 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketTaggingRequest.h                          | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketTaggingResult.h                           | C++              |         39 |         35 |         15 |         89 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketVersioningRequest.h                       | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketVersioningResult.h                        | C++              |         43 |         59 |         20 |        122 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketWebsiteRequest.h                          | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetBucketWebsiteResult.h                           | C++              |         60 |         80 |         36 |        176 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectAclRequest.h                              | C++              |         83 |         92 |         82 |        257 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectAclResult.h                               | C++              |         53 |         50 |         34 |        137 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectLegalHoldRequest.h                        | C++              |         83 |        108 |         82 |        273 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectLegalHoldResult.h                         | C++              |         36 |         29 |         13 |         78 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectLockConfigurationRequest.h                | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectLockConfigurationResult.h                 | C++              |         36 |         29 |         13 |         78 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectRequest.h                                 | C++              |        224 |        530 |        222 |        976 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectResult.h                                  | C++              |        263 |        659 |        287 |      1,209 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectRetentionRequest.h                        | C++              |         83 |        116 |         82 |        281 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectRetentionResult.h                         | C++              |         36 |         29 |         13 |         78 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectTaggingRequest.h                          | C++              |         73 |         92 |         67 |        232 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectTaggingResult.h                           | C++              |         48 |         56 |         24 |        128 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectTorrentRequest.h                          | C++              |         73 |         68 |         72 |        213 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetObjectTorrentResult.h                           | C++              |         38 |         23 |         25 |         86 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetPublicAccessBlockRequest.h                      | C++              |         53 |         52 |         47 |        152 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GetPublicAccessBlockResult.h                       | C++              |         36 |         34 |         13 |         83 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\GlacierJobParameters.h                             | C++              |         37 |         37 |         15 |         89 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Grant.h                                            | C++              |         46 |         55 |         23 |        124 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Grantee.h                                          | C++              |         78 |        133 |         55 |        266 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\HeadBucketRequest.h                                | C++              |         53 |         44 |         47 |        144 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\HeadObjectRequest.h                                | C++              |        166 |        396 |        164 |        726 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\HeadObjectResult.h                                 | C++              |        233 |        615 |        234 |      1,082 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\IndexDocument.h                                    | C++              |         39 |         75 |         17 |        131 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Initiator.h                                        | C++              |         49 |         75 |         27 |        151 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\InputSerialization.h                               | C++              |         64 |         98 |         39 |        201 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\InventoryConfiguration.h                           | C++              |         93 |        157 |         65 |        315 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\InventoryDestination.h                             | C++              |         37 |         43 |         15 |         95 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\InventoryEncryption.h                              | C++              |         46 |         56 |         23 |        125 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\InventoryFilter.h                                  | C++              |         39 |         51 |         17 |        107 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\InventoryFormat.h                                  | C++              |         24 |         14 |          5 |         43 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\InventoryFrequency.h                               | C++              |         23 |         14 |          5 |         42 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\InventoryIncludedObjectVersions.h                  | C++              |         23 |         14 |          5 |         42 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\InventoryOptionalField.h                           | C++              |         31 |         14 |          5 |         50 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\InventoryS3BucketDestination.h                     | C++              |         77 |        141 |         53 |        271 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\InventorySchedule.h                                | C++              |         37 |         37 |         15 |         89 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\JSONInput.h                                        | C++              |         37 |         37 |         15 |         89 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\JSONOutput.h                                       | C++              |         39 |         43 |         17 |         99 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\JSONType.h                                         | C++              |         23 |         14 |          5 |         42 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\LambdaFunctionConfiguration.h                      | C++              |         70 |         76 |         59 |        205 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\LifecycleConfiguration.h                           | C++              |         40 |         43 |         17 |        100 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\LifecycleExpiration.h                              | C++              |         49 |         83 |         27 |        159 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\LifecycleRule.h                                    | C++              |        107 |        141 |         95 |        343 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\LifecycleRuleAndOperator.h                         | C++              |         51 |         77 |         27 |        155 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\LifecycleRuleFilter.h                              | C++              |         57 |         69 |         39 |        165 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListBucketAnalyticsConfigurationsRequest.h         | C++              |         63 |         76 |         57 |        196 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListBucketAnalyticsConfigurationsResult.h          | C++              |         60 |        113 |         38 |        211 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListBucketInventoryConfigurationsRequest.h         | C++              |         63 |        100 |         57 |        220 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListBucketInventoryConfigurationsResult.h          | C++              |         60 |        117 |         38 |        215 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListBucketMetricsConfigurationsRequest.h           | C++              |         63 |         92 |         57 |        212 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListBucketMetricsConfigurationsResult.h            | C++              |         60 |        120 |         38 |        218 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListBucketsResult.h                                | C++              |         46 |         50 |         22 |        118 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListMultipartUploadsRequest.h                      | C++              |        108 |        192 |        107 |        407 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListMultipartUploadsResult.h                       | C++              |        120 |        269 |        104 |        493 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListObjectVersionsRequest.h                        | C++              |        108 |        156 |        107 |        371 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListObjectVersionsResult.h                         | C++              |        129 |        283 |        113 |        525 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListObjectsRequest.h                               | C++              |        108 |        162 |        106 |        376 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListObjectsResult.h                                | C++              |        104 |        239 |         86 |        429 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListObjectsV2Request.h                             | C++              |        124 |        256 |        116 |        496 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListObjectsV2Result.h                              | C++              |        116 |        292 |        100 |        508 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListPartsRequest.h                                 | C++              |         95 |        120 |         94 |        309 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ListPartsResult.h                                  | C++              |        123 |        233 |        111 |        467 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\LoggingEnabled.h                                   | C++              |         61 |        141 |         37 |        239 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\MFADelete.h                                        | C++              |         23 |         14 |          5 |         42 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\MFADeleteStatus.h                                  | C++              |         23 |         14 |          5 |         42 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\MetadataDirective.h                                | C++              |         23 |         14 |          5 |         42 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\MetadataEntry.h                                    | C++              |         49 |         67 |         27 |        143 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\MetricsAndOperator.h                               | C++              |         51 |         67 |         27 |        145 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\MetricsConfiguration.h                             | C++              |         48 |         73 |         25 |        146 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\MetricsFilter.h                                    | C++              |         57 |         91 |         33 |        181 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\MultipartUpload.h                                  | C++              |         85 |        139 |         59 |        283 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\NoncurrentVersionExpiration.h                      | C++              |         33 |         55 |         13 |        101 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\NoncurrentVersionTransition.h                      | C++              |         43 |         75 |         21 |        139 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\NotificationConfiguration.h                        | C++              |         62 |         93 |         37 |        192 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\NotificationConfigurationDeprecated.h              | C++              |         55 |         68 |         31 |        154 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\NotificationConfigurationFilter.h                  | C++              |         37 |         23 |         21 |         81 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Object.h                                           | C++              |         82 |        133 |         57 |        272 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ObjectCannedACL.h                                  | C++              |         28 |         14 |          5 |         47 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ObjectIdentifier.h                                 | C++              |         49 |         67 |         27 |        143 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ObjectLockConfiguration.h                          | C++              |         46 |         56 |         23 |        125 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ObjectLockEnabled.h                                | C++              |         22 |         14 |          5 |         41 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ObjectLockLegalHold.h                              | C++              |         37 |         37 |         15 |         89 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ObjectLockLegalHoldStatus.h                        | C++              |         23 |         14 |          5 |         42 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ObjectLockMode.h                                   | C++              |         23 |         14 |          5 |         42 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ObjectLockRetention.h                              | C++              |         46 |         55 |         23 |        124 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ObjectLockRetentionMode.h                          | C++              |         23 |         14 |          5 |         42 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ObjectLockRule.h                                   | C++              |         37 |         43 |         15 |         95 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ObjectStorageClass.h                               | C++              |         28 |         14 |          5 |         47 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ObjectVersion.h                                    | C++              |         98 |        173 |         73 |        344 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ObjectVersionStorageClass.h                        | C++              |         22 |         14 |          5 |         41 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\OutputLocation.h                                   | C++              |         37 |         44 |         15 |         96 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\OutputSerialization.h                              | C++              |         46 |         56 |         23 |        125 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Owner.h                                            | C++              |         49 |         67 |         27 |        143 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\OwnerOverride.h                                    | C++              |         22 |         14 |          5 |         41 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ParquetInput.h                                     | C++              |         26 |         19 |          7 |         52 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Part.h                                             | C++              |         60 |         89 |         37 |        186 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Payer.h                                            | C++              |         23 |         14 |          5 |         42 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Permission.h                                       | C++              |         26 |         14 |          5 |         45 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\PolicyStatus.h                                     | C++              |         33 |         39 |         13 |         85 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\Progress.h                                         | C++              |         45 |         55 |         25 |        125 |
| c:\FILES\CURVE\curve\thirdparties\aws-sdk\usr\include\aws\s3\model\ProgressEvent.h                                    | C++              |         37 |         37 |         15 |         89 |
